x,y,z,rx,ry,rz
-0.597868183134921,0.6335290562276622,0.41432256639233545,4.041,1.516,-1.466
-0.3793528165452701,0.6169607857243457,0.4594995579663036,4.041,1.516,-1.466
-0.36735384513214947,0.35708699999671917,0.7506878565104409,4.041,1.516,-1.466
-0.5471923685963594,0.28581579319545,0.39421973757501527,4.041,1.516,-1.466
-0.2703735746657046,0.737993635902634,0.6033386398696572,4.041,1.516,-1.466
-0.6244643610772707,0.22851525046598606,0.35575854309555505,4.041,1.516,-1.466
-0.28861252920663993,0.8310160117550203,0.6235472059506053,4.041,1.516,-1.466
-0.7115199741503128,0.04510793765750221,0.6508377347975742,4.041,1.516,-1.466
-0.545963574352311,-0.13619069682060436,0.6806078864172371,4.041,1.516,-1.466
-0.6630658820528709,0.602854510804867,0.39249653789272637,4.041,1.516,-1.466
-0.5666625980099528,0.1316406258242,0.7980314726260677,4.041,1.516,-1.466
-0.7498376584163339,-0.21772698602679394,0.6544464719443435,4.041,1.516,-1.466
-0.6103679047790258,0.3020548707907943,0.5853122040036263,4.041,1.516,-1.466
-0.5682911593716334,0.33456400879610987,0.7299353612806426,4.041,1.516,-1.466
-0.7769451208655255,-0.35032952538855944,0.7837593643959724,4.041,1.516,-1.466
-0.8135468119539272,-0.2296536716705866,0.515143974151506,4.041,1.516,-1.466
-0.2087546324926252,0.5135130098736254,0.588484987778257,4.041,1.516,-1.466
-0.3098887694763647,0.7313242342714715,0.7014907702345502,4.041,1.516,-1.466
-0.48329885727638944,0.7630715414322546,0.6846799822314795,4.041,1.516,-1.466
-0.4969634649043586,0.14704066448448752,0.644637953159415,4.041,1.516,-1.466
-0.7208617881469654,0.16578139577971499,0.692731845141743,4.041,1.516,-1.466
-0.6638231973309426,0.44582733027693,0.5895390644240337,4.041,1.516,-1.466
-0.8786118187589789,-0.08848177325345083,0.7236020709385201,4.041,1.516,-1.466
-0.5736824115053589,-0.28102902371369204,0.7301027228510311,4.041,1.516,-1.466
-0.646854634428356,0.5097419087869902,0.5611082488669111,4.041,1.516,-1.466
-0.6698915736166731,-0.2689861049082839,0.4176424845941668,4.041,1.516,-1.466
-0.8908842728756555,0.1663066676618559,0.7722463880198893,4.041,1.516,-1.466
-0.32897274356479816,0.7261655504302383,0.5551044268220826,4.041,1.516,-1.466
-0.5780249453107822,0.4466356879879633,0.45787160124349147,4.041,1.516,-1.466
-0.6126843324729099,0.15605994859115152,0.752275876612589,4.041,1.516,-1.466
-0.5696130352295155,0.6900808127415072,0.41591177565193205,4.041,1.516,-1.466
-0.404909865965549,0.8023346281412909,0.5167757744446896,4.041,1.516,-1.466
-0.6856869796334356,0.2674321764612449,0.7373167778814282,4.041,1.516,-1.466
